,positive adj count,negative adj count,sentiment
162,0,5,0
163,6,3,0
164,5,4,1
165,1,2,0
166,3,4,1
167,0,9,0
168,3,2,0
169,5,8,0
170,1,3,0
171,2,1,0
172,15,3,1
173,5,0,1
174,2,12,0
175,1,8,0
176,3,3,1
177,8,26,0
178,9,5,1
179,0,8,0
180,4,3,1
181,3,2,0
182,15,5,0
183,5,6,0
184,1,2,0
185,3,5,0
186,11,6,1
187,2,4,0
188,4,1,1
189,5,13,0
190,5,5,1
191,13,15,1
192,3,1,1
193,1,0,1
194,1,2,0
195,1,5,0
196,5,8,0
197,3,6,0
198,7,6,1
199,1,1,0
200,3,1,0
201,3,0,1
202,11,7,1
203,4,0,1
204,0,6,0
205,3,0,1
206,2,2,0
207,3,3,0
208,1,1,1
209,1,1,1
210,9,4,0
211,1,4,0
212,3,2,0
213,1,2,1
214,1,2,0
215,9,5,1
216,4,1,1
217,1,3,0
218,12,8,1
219,4,2,0
220,2,0,0
221,3,9,1
222,12,1,1
223,2,5,0
224,10,2,1
225,4,2,0
226,4,8,1
227,6,3,1
228,9,7,1
229,3,1,1
230,0,3,0
231,1,0,1
232,7,2,1
233,2,1,1
234,5,3,1
235,2,0,1
236,4,0,1
237,1,3,0
238,5,1,1
239,3,8,0
240,5,3,0
241,4,0,1
242,2,2,0
243,6,2,1
244,1,2,0
245,1,0,1
246,1,3,0
247,1,7,0
248,6,0,1
249,1,2,0
250,2,5,0
251,1,4,0
252,7,5,0
253,1,7,0
254,10,14,1
255,8,5,0
256,3,3,0
257,2,5,0
258,14,10,1
259,1,1,1
260,8,7,1
261,2,2,0
262,0,9,0
263,20,12,0
264,0,5,0
265,1,4,1
266,2,4,0
267,4,10,0
268,1,2,0
269,8,0,1
270,4,5,0
271,5,1,1
272,5,3,1
273,5,6,1
274,3,2,0
275,4,3,1
276,5,12,0
277,8,11,1
278,1,7,0
279,2,3,1
280,9,3,1
281,0,2,0
282,0,3,0
283,1,9,0
284,3,7,1
285,0,1,0
286,4,11,1
287,7,0,1
288,13,4,1
289,2,1,1
290,3,0,1
291,3,0,1
292,5,1,1
293,6,1,1
294,7,0,1
295,1,8,0
296,3,4,0
297,17,9,1
298,5,2,1
299,2,1,1
300,5,3,0
301,2,7,0
302,2,0,1
303,5,2,1
304,9,4,1
305,6,1,1
306,9,2,1
307,1,2,0
308,3,0,0
309,3,3,0
310,20,6,1
311,2,2,0
312,4,5,0
313,1,5,0
314,4,2,0
315,2,3,0
316,2,2,1
317,4,0,1
318,1,2,1
319,8,2,0
320,16,10,1
321,2,0,1
322,13,18,0
323,3,1,1
324,1,3,0
325,2,2,1
326,4,1,1
327,4,7,0
328,4,1,1
329,2,0,1
330,3,3,0
331,1,0,1
332,16,2,1
333,2,4,1
334,2,1,1
335,3,1,0
336,3,0,1
337,3,2,1
338,11,9,0
339,1,3,0
340,4,2,0
341,5,0,1
342,2,2,0
343,10,8,1
344,5,5,0
345,7,12,0
346,0,6,0
347,2,2,1
348,5,2,0
349,6,10,0
350,8,5,1
351,4,4,0
352,3,6,0
353,6,5,1
354,3,1,0
355,3,7,0
356,6,1,1
357,7,3,0
358,1,2,0
359,2,4,0
360,2,2,1
361,1,9,0
362,13,9,1
363,19,1,1
364,11,3,1
365,13,18,0
366,1,3,0
367,1,2,0
368,4,1,1
369,7,0,1
370,2,3,1
371,12,1,1
372,3,5,0
373,9,7,1
374,16,14,1
375,4,4,0
376,4,2,1
377,2,1,0
378,25,9,1
379,0,7,0
380,0,9,0
381,4,0,1
382,4,1,1
383,0,2,0
384,4,4,0
385,5,5,0
386,1,4,0
387,9,7,1
388,1,0,1
389,12,4,1
390,1,1,1
391,1,3,0
392,2,0,1
393,5,1,1
394,4,0,1
395,1,6,0
396,2,8,0
397,4,4,1
398,0,4,0
399,2,0,1
400,11,7,1
401,1,3,0
402,4,6,0
403,8,8,1
404,2,1,1
405,6,4,0
406,3,2,1
407,1,3,1
408,1,3,0
409,4,1,1
410,16,8,0
411,5,4,1
412,2,1,0
413,0,3,0
414,4,0,0
415,1,0,0
416,3,4,0
417,2,2,1
418,3,5,0
419,4,4,0
420,1,8,0
421,1,1,0
422,6,3,0
423,9,0,1
424,8,5,0
425,3,0,1
426,4,2,1
427,10,1,1
428,0,7,0
429,9,2,1
430,2,5,0
431,4,9,0
432,0,6,0
433,20,6,1
434,5,1,0
435,15,4,1
436,5,0,1
437,1,2,1
438,5,4,1
439,10,1,1
440,3,9,0
441,7,1,1
442,14,8,0
443,5,2,0
444,2,4,0
445,3,5,0
446,2,3,0
447,6,0,1
448,2,2,0
449,1,1,0
450,8,4,1
451,1,1,1
452,0,3,0
453,4,0,1
454,8,3,1
455,10,0,1
456,4,19,0
457,7,2,1
458,3,3,0
459,3,5,0
460,0,1,1
461,9,2,1
462,2,7,0
463,10,10,0
464,4,4,0
465,4,4,1
466,4,1,1
467,4,4,1
468,1,2,0
469,3,1,1
470,15,7,0
471,0,6,0
472,4,4,0
473,12,12,0
474,4,1,1
475,7,3,1
476,5,1,1
477,2,7,0
478,6,3,0
479,14,0,1
480,2,2,0
481,3,1,1
482,1,0,0
483,2,2,1
484,2,1,1
485,3,7,0
486,2,7,0
487,11,5,1
488,2,8,1
489,4,11,0
490,0,1,0
491,1,0,1
492,7,7,1
493,1,0,1
494,8,2,1
495,3,1,0
496,3,2,0
497,2,3,0
498,3,2,0
499,32,8,1
500,6,3,0
501,5,4,1
502,8,2,1
503,1,3,0
504,8,3,1
505,2,2,1
506,3,1,0
507,7,1,1
508,5,0,0
509,2,1,1
510,2,7,0
511,1,5,0
512,1,3,0
513,8,3,0
514,8,8,0
515,6,1,1
516,2,3,0
517,5,1,1
518,3,2,1
519,4,2,0
520,4,2,0
521,2,0,1
522,2,0,1
523,2,9,0
524,8,10,0
525,0,5,0
526,7,2,1
527,1,1,0
528,4,1,1
529,1,3,0
530,0,0,0
531,1,1,1
532,4,1,1
533,3,4,1
534,1,3,1
535,2,4,0
536,1,8,0
537,2,0,0
538,4,3,0
539,11,3,1
540,5,0,1
541,0,4,0
542,2,7,0
543,2,5,0
544,3,1,0
545,0,2,0
546,2,3,0
547,10,3,1
548,1,0,0
549,3,1,1
550,3,6,0
551,3,2,0
552,13,6,1
553,3,2,0
554,2,8,0
555,1,3,0
556,27,15,1
557,13,3,1
558,18,6,1
559,7,15,0
560,2,3,0
561,6,3,0
562,1,2,0
563,6,3,0
564,1,3,1
565,1,10,0
566,20,5,1
567,0,2,1
568,2,2,1
569,1,5,0
570,3,2,1
571,4,3,1
572,9,2,1
573,4,1,0
574,1,1,0
575,8,6,0
576,3,6,0
577,7,13,0
578,1,4,0
579,3,0,1
580,5,2,1
581,5,2,0
582,3,0,1
583,1,3,0
584,2,0,1
585,4,2,1
586,4,0,1
587,13,6,0
588,5,2,0
589,1,3,0
590,16,3,1
591,0,8,0
592,19,4,1
593,2,0,1
594,2,0,1
595,2,1,1
596,2,4,0
597,11,1,1
598,3,0,1
599,5,6,0
600,1,4,1
601,6,5,1
602,4,3,1
603,2,5,0
604,3,1,0
605,2,1,1
606,4,0,1
607,4,0,1
608,7,2,1
609,5,4,1
610,6,7,0
611,7,6,1
612,0,4,0
613,0,5,0
614,2,3,1
615,3,4,0
616,9,2,1
617,2,3,0
618,4,6,1
619,7,2,0
620,7,0,1
621,3,2,1
622,6,1,1
623,2,2,0
624,2,1,1
625,5,10,0
626,6,1,1
627,1,6,0
628,3,4,1
629,3,1,1
630,1,2,0
631,5,0,1
632,5,1,1
633,3,0,1
634,2,1,1
635,3,7,0
636,5,2,0
637,12,15,0
638,3,0,1
639,1,2,1
640,3,1,0
641,6,2,1
642,0,7,0
643,9,3,1
644,1,3,0
645,6,0,1
646,2,5,0
647,12,4,1
648,5,1,1
649,9,7,0
650,4,0,1
651,5,1,0
652,8,3,0
653,4,2,1
654,8,13,0
655,2,2,0
656,5,4,1
657,2,0,1
658,2,2,1
659,0,0,0
660,0,2,0
661,6,2,1
662,4,3,1
663,7,1,1
664,9,5,1
665,6,7,0
666,3,1,1
667,2,0,1
668,1,4,0
669,6,3,1
670,6,3,1
671,0,3,0
672,12,5,0
673,2,2,0
674,0,0,0
675,3,7,0
676,3,0,1
677,5,0,1
678,14,10,0
679,1,5,0
680,4,1,1
681,5,6,0
682,2,0,1
683,1,0,1
684,2,4,0
685,2,1,0
686,4,1,1
687,3,2,0
688,16,16,0
689,6,1,1
690,2,1,1
691,5,6,0
692,2,4,0
693,15,12,1
694,4,1,1
695,1,7,0
696,3,2,1
697,2,2,1
698,3,1,1
699,6,5,0
700,2,2,0
701,0,0,1
702,9,13,0
703,6,2,1
704,2,3,1
705,5,4,0
706,8,0,1
707,5,3,1
708,2,2,0
709,1,3,0
710,8,4,1
711,1,3,1
712,20,8,1
713,0,0,1
714,6,6,1
715,0,4,0
716,6,5,0
717,4,8,0
718,3,2,0
719,3,1,0
720,15,9,0
721,2,2,0
722,6,2,1
723,15,3,1
724,3,2,1
725,3,3,0
726,4,4,1
727,9,9,1
728,5,0,1
729,1,3,0
730,3,1,1
731,6,2,0
732,0,1,1
733,4,2,1
734,3,0,1
735,5,4,1
736,0,4,0
737,5,6,1
738,4,3,0
739,1,1,1
740,0,2,0
741,8,5,1
742,0,2,0
743,2,1,1
744,0,3,0
745,1,1,1
746,9,4,1
747,8,5,1
748,2,8,0
749,10,1,1
750,2,1,1
751,4,10,0
752,4,1,0
753,4,3,0
754,4,2,0
755,2,2,1
756,4,4,0
757,3,4,0
758,0,3,0
759,2,2,1
760,2,0,1
761,2,5,0
762,3,6,1
763,2,2,0
764,3,6,1
765,5,17,0
766,2,3,0
767,5,4,0
768,1,0,0
769,0,4,0
770,5,7,0
771,0,6,0
772,1,2,1
773,6,0,1
774,5,7,0
775,3,2,1
776,5,1,0
777,2,3,0
778,1,4,1
779,9,4,0
780,1,0,1
781,6,1,1
782,1,2,1
783,2,5,0
784,5,7,0
785,10,5,0
786,4,3,1
787,7,5,1
788,8,3,0
789,0,0,1
790,4,6,1
791,5,4,0
792,8,1,1
793,2,2,1
794,2,4,0
795,8,5,1
796,6,3,1
797,7,2,1
798,3,3,0
799,6,3,1
800,1,0,1
801,8,4,1
802,4,5,1
803,7,1,1
804,11,6,1
805,2,8,0
806,3,10,1
807,2,6,1
808,13,6,1
809,0,6,0
810,6,3,0
811,7,3,1
812,2,1,1
813,6,2,1
814,10,2,1
815,6,4,0
816,8,3,1
817,2,0,1
818,4,0,1
819,3,5,0
820,9,0,1
821,2,2,1
822,4,0,1
823,3,2,1
824,7,13,0
825,11,4,1
826,4,2,1
827,2,2,0
828,2,16,0
829,1,1,0
830,12,5,0
831,5,0,1
832,4,0,1
833,1,1,0
834,2,3,0
835,0,2,1
836,4,6,0
837,3,4,1
838,2,2,1
839,1,0,1
840,4,0,1
841,2,8,0
842,13,2,1
843,0,3,0
844,4,0,1
845,10,6,0
846,5,1,1
847,1,3,0
848,2,5,0
849,0,1,1
850,1,2,1
851,3,3,0
852,4,2,1
853,3,0,1
854,4,1,0
855,8,4,1
856,6,3,1
857,1,4,0
858,17,8,1
859,2,6,0
860,2,1,1
861,4,9,0
862,4,5,0
863,3,0,1
864,1,1,1
865,0,2,0
866,6,1,1
867,9,4,1
868,7,4,0
869,3,4,1
870,3,4,0
871,2,0,1
872,6,6,1
873,7,4,1
874,9,2,1
875,9,5,0
876,4,2,1
877,1,1,0
878,4,4,0
879,3,9,0
880,3,6,0
881,5,4,0
882,0,2,0
883,1,4,0
884,3,2,1
885,6,8,0
886,2,6,0
887,3,1,1
888,2,1,1
889,1,5,1
890,6,8,1
891,5,0,1
892,6,0,1
893,4,2,0
894,4,1,1
895,2,4,1
896,4,1,1
897,1,2,1
898,4,5,0
899,3,0,0
900,3,2,1
901,1,1,0
902,4,3,0
903,2,3,0
904,4,6,0
905,0,3,0
906,2,0,1
907,9,16,1
908,6,5,1
909,2,0,1
910,5,1,1
911,4,1,1
912,5,2,0
913,5,1,0
914,2,1,0
915,6,4,1
916,2,0,0
917,3,0,1
918,4,8,1
919,11,19,1
920,4,2,1
921,2,3,0
922,0,0,0
923,10,8,1
924,8,1,0
925,6,2,1
926,1,2,0
927,0,4,0
928,8,1,1
929,2,0,1
930,6,4,1
931,5,1,1
932,3,1,0
933,3,4,0
934,7,8,0
935,2,2,1
936,5,6,0
937,7,4,0
938,2,3,0
939,1,3,1
940,0,1,0
941,2,1,1
942,0,2,0
943,21,7,1
944,6,2,1
945,0,6,0
946,8,6,1
947,3,4,1
948,8,1,1
949,1,3,1
950,7,2,1
951,6,5,1
952,5,3,1
953,3,0,1
954,8,3,1
955,5,1,1
956,1,1,0
957,5,0,1
958,2,4,0
959,5,1,0
960,2,1,1
961,5,0,1
962,6,2,1
963,3,2,1
964,1,0,1
965,0,5,0
966,0,3,0
967,8,3,1
968,2,1,1
969,1,0,0
970,5,6,0
971,5,5,0
972,5,1,1
973,4,3,0
974,0,2,0
975,7,9,0
976,4,5,0
977,1,6,0
978,3,2,0
979,3,1,1
980,2,3,0
981,3,1,0
982,1,2,0
983,3,0,0
984,8,1,1
985,14,4,1
986,7,4,1
987,3,0,1
988,6,0,1
989,5,3,0
990,1,1,0
991,8,11,0
992,4,0,1
993,1,3,0
994,4,0,1
995,2,2,1
996,0,2,0
997,4,10,0
998,6,4,0
999,12,8,0
1000,0,5,0
1001,8,1,0
1002,0,4,0
1003,3,0,1
1004,3,2,1
1005,3,5,0
1006,1,4,0
1007,10,3,1
1008,3,3,1
1009,1,0,1
1010,9,5,1
1011,5,2,1
1012,4,6,0
1013,2,5,0
1014,2,2,1
1015,2,2,1
1016,6,11,1
1017,3,5,0
1018,13,9,1
1019,2,2,0
1020,1,1,0
1021,3,6,1
1022,1,2,0
1023,3,6,1
1024,2,3,0
1025,2,5,0
1026,6,4,1
1027,2,2,0
1028,7,11,0
1029,11,10,1
1030,2,6,0
1031,9,5,0
1032,0,0,0
1033,4,1,0
1034,4,0,0
1035,4,3,0
1036,5,0,1
1037,2,0,1
1038,11,0,1
1039,6,10,1
1040,0,0,1
1041,14,0,1
1042,2,1,1
1043,4,11,0
1044,1,0,1
1045,5,3,1
1046,3,0,1
1047,2,3,1
1048,5,2,1
1049,2,2,1
1050,0,7,0
1051,2,3,0
1052,12,1,1
1053,6,0,1
1054,8,13,1
1055,8,2,1
1056,3,1,1
1057,9,19,0
1058,4,3,0
1059,1,2,0
1060,2,1,0
1061,3,1,1
1062,1,4,0
1063,1,1,0
1064,1,0,0
1065,2,2,0
1066,12,10,1
1067,0,1,1
1068,1,1,0
1069,3,1,1
1070,0,1,0
1071,2,5,0
1072,1,3,1
1073,3,4,0
1074,3,3,0
1075,2,6,0
1076,0,1,1
1077,1,0,0
1078,12,6,1
1079,5,6,0
1080,3,2,1
1081,5,1,1
1082,0,8,0
1083,4,5,0
1084,6,3,1
1085,8,1,1
1086,1,2,1
1087,3,4,1
1088,3,3,0
1089,0,3,0
1090,11,1,1
1091,0,6,0
1092,2,1,0
1093,2,4,0
1094,1,7,1
1095,2,10,0
1096,1,5,0
1097,5,5,0
1098,19,13,1
1099,1,3,0
1100,3,1,1
1101,0,5,0
1102,5,7,0
1103,4,1,0
1104,6,8,0
1105,6,3,1
1106,0,1,1
1107,4,5,1
1108,5,3,0
1109,10,3,1
1110,3,0,1
1111,7,0,1
1112,5,3,0
1113,5,0,1
1114,0,2,0
1115,14,16,0
1116,3,6,0
1117,0,2,0
1118,4,0,1
1119,2,1,0
1120,0,5,0
1121,6,2,0
1122,2,3,1
1123,3,3,0
1124,6,2,1
1125,5,1,1
1126,9,5,1
1127,3,5,1
1128,1,3,0
1129,2,2,0
1130,4,7,0
1131,3,0,1
1132,2,4,0
1133,5,2,1
1134,1,2,1
1135,6,3,1
1136,0,2,0
1137,0,4,1
1138,3,1,1
1139,10,1,1
1140,2,2,0
1141,3,0,1
1142,3,6,0
1143,9,1,1
1144,5,0,1
1145,3,1,1
1146,0,3,1
1147,12,3,1
1148,5,1,1
1149,2,1,0
1150,9,0,1
1151,2,3,1
1152,3,0,1
1153,3,2,1
1154,1,3,1
1155,4,2,0
1156,14,8,1
1157,3,3,0
1158,10,7,1
1159,4,0,1
1160,2,0,1
1161,2,0,1
1162,3,3,0
1163,4,0,1
1164,1,2,1
1165,1,4,1
1166,8,2,1
1167,1,2,0
1168,0,4,1
1169,2,1,1
1170,5,3,1
1171,7,1,1
1172,2,2,1
1173,1,5,0
1174,5,2,1
1175,11,1,1
1176,1,1,0
1177,5,5,0
1178,4,0,1
1179,0,1,0
1180,3,7,0
1181,1,1,1
1182,9,0,1
1183,15,1,1
1184,0,2,0
1185,2,0,1
1186,1,3,0
1187,5,6,0
1188,10,6,1
1189,0,2,0
1190,1,3,0
1191,6,1,1
1192,5,11,0
1193,5,3,0
1194,7,2,1
1195,2,5,0
1196,12,4,1
1197,4,6,1
1198,4,1,1
1199,5,3,0
1200,1,10,0
1201,4,1,1
1202,1,2,0
1203,3,0,1
1204,4,3,0
1205,7,0,1
1206,5,0,0
1207,2,1,1
1208,3,2,0
1209,4,1,1
1210,1,6,0
1211,4,0,1
1212,1,2,0
1213,6,1,1
1214,9,2,1
1215,0,1,0
1216,19,3,0
1217,4,3,1
1218,7,2,1
1219,4,1,0
1220,2,6,0
1221,0,1,0
1222,4,4,0
1223,1,0,1
1224,9,7,0
1225,2,2,0
1226,6,2,1
1227,6,7,0
1228,5,1,1
1229,2,2,1
1230,5,1,1
1231,1,1,1
1232,3,1,0
1233,2,0,1
1234,16,5,1
1235,6,19,0
1236,3,1,0
1237,1,1,1
1238,3,6,0
1239,6,3,0
1240,4,3,0
1241,2,2,1
1242,3,4,0
1243,2,3,0
1244,0,5,0
1245,5,2,0
1246,1,1,1
1247,3,1,0
1248,15,11,1
1249,5,1,1
1250,1,6,0
1251,2,2,0
1252,2,1,1
1253,1,0,1
1254,1,4,0
1255,1,3,0
1256,6,7,0
1257,5,0,1
1258,5,6,0
1259,2,12,0
1260,10,3,1
1261,3,1,0
1262,5,1,0
1263,3,0,1
1264,7,3,1
1265,11,2,1
1266,3,1,1
1267,9,1,1
1268,5,3,0
1269,9,5,1
1270,7,1,1
1271,0,0,1
1272,4,3,1
1273,5,5,0
1274,4,4,0
1275,4,2,1
1276,5,2,1
1277,7,6,0
1278,1,4,0
1279,3,5,0
1280,12,8,1
1281,3,0,1
1282,0,5,0
1283,5,4,0
1284,7,2,0
1285,0,2,0
1286,3,0,1
1287,4,3,0
1288,3,0,1
1289,2,2,0
1290,1,3,0
1291,9,4,1
1292,4,7,0
1293,4,2,1
1294,4,5,1
1295,0,5,0
1296,2,6,0
1297,3,6,0
1298,3,4,0
1299,5,2,1
1300,1,1,1
1301,3,3,1
1302,5,0,1
1303,3,1,0
1304,4,0,1
1305,9,0,1
1306,4,1,1
1307,5,1,1
1308,4,5,0
1309,4,6,1
1310,4,6,1
1311,1,2,0
1312,1,0,1
1313,0,1,0
1314,4,7,0
1315,2,2,0
1316,7,1,1
1317,6,2,1
1318,2,3,0
1319,2,2,0
1320,6,7,0
1321,5,2,1
1322,1,4,0
1323,1,0,1
1324,2,0,1
1325,1,3,1
1326,7,4,0
1327,10,3,0
1328,9,3,1
1329,2,7,1
1330,3,4,0
1331,1,5,0
1332,2,1,0
1333,6,0,1
1334,4,2,1
1335,2,2,1
1336,2,4,0
1337,2,0,0
1338,1,4,0
1339,12,2,1
1340,2,2,0
1341,3,1,0
1342,1,2,1
1343,4,0,1
1344,8,0,1
1345,12,1,1
1346,1,0,1
1347,2,6,0
1348,2,9,0
1349,3,4,0
1350,4,4,1
1351,7,3,1
1352,1,2,1
1353,2,2,1
1354,4,1,1
1355,5,1,0
1356,8,7,0
1357,7,0,0
1358,3,8,0
1359,6,0,1
1360,0,4,0
1361,4,0,1
1362,3,4,0
1363,2,0,1
1364,2,0,1
1365,4,3,1
1366,2,2,0
1367,2,1,0
1368,3,0,0
1369,2,1,1
1370,8,8,0
1371,4,3,0
1372,6,2,1
1373,7,2,0
1374,1,1,1
1375,0,5,0
1376,2,0,1
1377,8,6,0
1378,5,2,1
1379,1,0,0
1380,4,0,0
1381,8,12,0
1382,5,1,1
1383,2,4,0
1384,4,2,1
1385,6,8,1
1386,4,4,1
1387,0,6,0
1388,4,1,0
1389,0,1,1
1390,1,0,0
1391,0,9,1
1392,2,4,0
1393,4,1,1
1394,6,2,1
1395,2,3,1
1396,3,1,1
1397,6,0,1
1398,4,0,1
1399,2,0,1
1400,0,0,1
1401,11,5,1
1402,7,2,1
1403,4,2,1
1404,4,7,0
1405,2,1,1
1406,3,0,1
1407,5,7,1
1408,2,0,1
1409,6,1,1
1410,3,9,0
1411,3,0,1
1412,10,8,0
1413,1,2,0
1414,1,2,0
1415,2,6,1
1416,3,0,1
1417,0,0,0
1418,6,0,0
1419,8,0,1
1420,17,11,0
1421,2,0,0
1422,3,3,0
1423,8,9,1
1424,3,1,1
1425,2,10,0
1426,6,5,0
1427,4,3,0
1428,0,2,0
1429,5,7,1
1430,7,11,0
1431,1,1,1
1432,1,5,0
1433,3,7,1
1434,2,4,0
1435,3,0,0
1436,2,3,0
1437,5,3,1
1438,6,0,1
1439,0,3,0
1440,0,0,1
1441,2,6,1
1442,9,1,0
1443,0,1,1
1444,3,4,1
1445,29,2,1
1446,6,9,0
1447,3,4,0
1448,2,2,1
1449,7,4,1
1450,11,8,0
1451,4,0,1
1452,1,9,0
1453,5,1,1
1454,5,2,1
1455,0,5,0
1456,5,3,0
1457,3,5,1
1458,8,2,1
1459,6,2,1
1460,5,6,1
1461,16,16,1
1462,2,5,0
1463,1,1,1
1464,1,1,0
1465,7,9,0
1466,1,3,0
1467,13,3,1
1468,1,1,1
1469,0,2,0
1470,7,3,1
1471,1,1,0
1472,4,0,1
1473,6,13,0
1474,18,11,1
1475,4,1,1
1476,2,4,0
1477,6,5,0
1478,5,6,0
1479,15,5,1
1480,0,1,1
1481,3,3,1
1482,9,4,1
1483,9,0,1
1484,0,1,0
1485,7,0,1
1486,2,0,1
1487,5,2,1
1488,2,4,0
1489,4,0,1
1490,7,11,0
1491,4,2,1
1492,3,1,1
1493,0,5,0
1494,19,6,0
1495,1,8,0
1496,0,0,1
1497,10,0,1
1498,11,3,1
1499,3,4,0
1500,6,6,0
1501,5,2,0
1502,12,2,1
1503,1,3,0
1504,5,12,1
1505,6,8,0
1506,6,2,1
1507,7,10,0
1508,10,1,1
1509,6,9,0
1510,8,5,1
1511,11,7,1
1512,7,2,0
1513,9,6,1
1514,2,3,0
1515,1,1,0
1516,1,3,0
1517,5,13,0
1518,11,0,1
1519,2,4,0
1520,2,3,1
1521,4,5,0
1522,5,7,0
1523,0,5,0
1524,1,0,0
1525,4,1,1
1526,9,2,0
1527,5,2,1
1528,0,4,0
1529,6,1,1
1530,3,0,1
1531,31,5,1
1532,3,0,0
1533,4,2,1
1534,5,4,0
1535,2,2,0
1536,1,0,0
1537,2,4,0
1538,0,7,0
1539,2,2,0
1540,3,0,1
1541,5,13,0
1542,2,9,0
1543,4,7,0
1544,5,3,1
1545,5,5,0
1546,2,1,1
1547,1,10,0
1548,5,2,1
1549,5,1,1
1550,4,1,1
1551,1,4,0
1552,6,2,0
1553,4,2,0
1554,3,0,1
1555,3,4,0
1556,6,4,1
1557,5,2,1
1558,3,2,0
1559,3,3,0
1560,8,1,1
1561,3,3,1
1562,5,0,1
1563,4,3,1
1564,3,2,0
1565,4,2,0
1566,0,1,1
1567,4,19,0
1568,0,0,1
1569,2,1,0
1570,9,1,1
1571,5,0,1
1572,7,5,0
1573,3,3,1
1574,0,0,0
1575,3,1,1
1576,1,0,1
1577,5,9,0
1578,2,2,1
1579,5,2,1
1580,3,6,0
1581,5,6,1
1582,3,3,1
1583,14,14,0
1584,3,3,0
1585,3,0,1
1586,4,4,0
1587,2,4,1
1588,3,7,0
1589,0,0,0
1590,4,2,1
1591,3,3,1
1592,2,5,0
1593,1,1,0
1594,5,1,1
1595,3,1,1
1596,13,15,0
1597,4,3,1
1598,6,2,1
1599,1,1,1
1600,2,5,0
1601,16,8,1
1602,0,4,0
1603,2,3,1
1604,8,1,0
1605,3,10,0
1606,10,3,1
1607,5,2,1
1608,3,3,0
1609,1,1,1
1610,2,2,0
1611,6,0,0
1612,4,10,0
1613,3,5,1
1614,2,1,1
1615,37,11,1
1616,3,0,1
1617,1,5,0
1618,1,0,0
1619,2,2,0
1620,4,4,0
1621,5,3,0
1622,0,2,0
1623,10,2,1
1624,1,3,0
1625,1,2,0
1626,5,13,0
1627,6,7,1
1628,5,1,1
1629,2,6,0
1630,1,0,1
1631,8,6,1
1632,4,7,0
1633,1,2,1
1634,10,3,1
1635,1,0,1
1636,12,10,1
1637,6,7,0
1638,5,2,0
1639,0,2,1
1640,2,1,0
1641,0,8,0
1642,5,3,1
1643,4,1,1
1644,2,4,0
1645,3,0,1
1646,8,7,0
1647,6,4,1
1648,1,5,0
1649,10,7,1
1650,4,1,0
1651,1,3,0
1652,4,1,1
1653,3,7,0
1654,5,4,0
1655,1,0,1
1656,5,2,1
1657,8,2,1
1658,3,7,1
1659,8,2,1
1660,10,0,1
1661,3,2,0
